"Fact","Fact Note","Indiana","Value Note for Indiana","Illinois","Value Note for Illinois","Idaho","Value Note for Idaho","Hawaii","Value Note for Hawaii","Georgia","Value Note for Georgia","United States","Value Note for United States";
"Population Estimates, July 1, 2022, (V2022)","","6,833,037","","12,582,032","","1,939,033","","1,440,196","","10,912,876","","333,287,557","";
"Population Estimates, July 1, 2021, (V2021)","","6,813,532","","12,686,469","","1,904,314","","1,447,154","","10,788,029","","332,031,554","";
"Population estimates base, April 1, 2020, (V2022)","","6,785,668","","12,812,545","","1,839,092","","1,455,273","","10,711,937","","331,449,520","";
"Population estimates base, April 1, 2020, (V2021)","","6,785,668","","12,812,545","","1,839,092","","1,455,273","","10,711,937","","331,449,520","";
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","0.7%","","-1.8%","","5.4%","","-1.0%","","1.9%","","0.6%","";
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","0.4%","","-1.0%","","3.5%","","-0.6%","","0.7%","","0.2%","";
"Population, Census, April 1, 2020","","6,785,528","","12,812,508","","1,839,106","","1,455,271","","10,711,908","","331,449,281","";
"Population, Census, April 1, 2010","","6,483,802","","12,830,632","","1,567,582","","1,360,301","","9,687,653","","308,745,538","";
"Persons under 5 years, percent","","6.0%","","5.6%","","6.0%","","5.7%","","5.9%","","5.7%","";
"Persons under 18 years, percent","","23.3%","","22.1%","","24.7%","","21.1%","","23.4%","","22.2%","";
"Persons 65 years and over, percent","","16.4%","","16.6%","","16.6%","","19.6%","","14.7%","","16.8%","";
"Female persons, percent","","50.4%","","50.6%","","49.6%","","49.7%","","51.2%","","50.5%","";
"White alone, percent","","84.2%","","76.3%","","92.8%","","25.3%","","59.4%","","75.8%","";
"Black or African American alone, percent","(a)","10.2%","","14.7%","","0.9%","","2.2%","","33.0%","","13.6%","";
"American Indian and Alaska Native alone, percent","(a)","0.4%","","0.6%","","1.7%","","0.4%","","0.5%","","1.3%","";
"Asian alone, percent","(a)","2.7%","","6.1%","","1.6%","","36.8%","","4.6%","","6.1%","";
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","0.2%","","10.5%","","0.1%","","0.3%","";
